pk,jsondata,id,name,description,markup_description,analyzed,gloss,type,source,comment,original_script,xhtml,markup_text,markup_analyzed,markup_gloss,markup_comment,language_pk,version
3515,,2267,ča,,,,,,,,,"<div class=""Example""><p><i>ča</i></p></div>",,,,,1459,1
3516,,2268,"ARM: n̺d̺am ""arm"" HAND: n̻d̻ɨ",,,,,,,,,"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>ARM: n̺d̺am</p>
</td>
<td>
<p>""arm""</p>
</td>
</tr>
<tr>
<td>
<p>HAND: n̻d̻ɨ</p>
</td>
<td></td>
</tr>
</table></div>",,,,,1611,1
3517,,2269,instrumental marker: -de,,,,,,,,,"<div class=""comments"">
  <dl>
    <dt>instrumental marker:</dt>
    <dd>-de</dd>
  </dl>
</div>",,,,,2542,1
3518,,igt-2091,cisny-c,'throw',,cisny-c,throw.PFV-INF,,,,,,,cisny-c,throw.PFV-INF,"<div class=""comments"">
  <p> a: 424</p>
</div>",900,1
3519,,igt-2092,mjeta-c,'throw',,mjeta-c,throw.IMPF-INF,,,,,,,mjeta-c,throw.IMPF-INF,"<div class=""comments"">
  <p> a: 424</p>
</div>",900,1
3520,,igt-2069,je,'be',,je,be.3.SG.PRES,,,,,,,je,be.3.SG.PRES,"<div class=""comments"">
  <p> a: 424</p>
</div>",900,1
3521,,igt-2070,beše/be,'be',,beše/be,be.3.SG.IMPF,,,,,,,beše/be,be.3.SG.IMPF,"<div class=""comments"">
  <p> a: 424</p>
</div>",900,1
3522,,igt-2071,by ɫ,'be',,by ɫ,be.PST.PTCP.M.SG,,,,,,,"by<span class=""s1"">ɫ</span>",be.PST.PTCP.M.SG,"<div class=""comments"">
  <p> a: 424</p>
</div>",900,1
3523,,igt-2072,budze,'be',,budze,be.FUT.3.SG,,,,,,,budze,be.FUT.3.SG,"<div class=""comments"">
  <p> a: 424</p>
</div>",900,1
3524,,igt-2073,du,'go',,du,go.1.SG.PRES (one time action),,,,,,,du,go.1.SG.PRES (one time action),"<div class=""comments"">
  <p> a: 424</p>
</div>",900,1
3525,,igt-2074,chodz-u,'go',,chodz-u,go-1.SG.PRES (many times action),,,,,,,chodz-u,go-1.SG.PRES (many times action),"<div class=""comments"">
  <p> a: 424</p>
</div>",900,1
3526,,igt-2075,dze-ch,'go',,dze-ch,go-1.SG.PST,,,,,,,dze-ch,go-1.SG.PST,"<div class=""comments"">
  <p> a: 424</p>
</div>",900,1
3527,,igt-2076,sym šol,'go',,sym šol,be.1.SG.PRES go.PST.PTCP.SG.M (=PERF),,,,,,,sym šol,be.1.SG.PRES go.PST.PTCP.SG.M (=PERF),"<div class=""comments"">
  <p> a: 424</p>
</div>",900,1
3528,,igt-2077,pondu,'go',,pondu,go.1.SG.FUT.PFV,,,,,,,pondu,go.1.SG.FUT.PFV,"<div class=""comments"">
  <p> a: 424</p>
</div>",900,1
3529,,igt-2078,budu chodic,'go',,budu chodic,be.FUT.1.SG go.IMPF.INF,,,,,,,budu chodic,be.FUT.1.SG go.IMPF.INF,"<div class=""comments"">
  <p> a: 424</p>
</div>",900,1
3530,,igt-2079,prindu,'come',,prindu,come.1.SG.PRES,,,,,,,prindu,come.1.SG.PRES,"<div class=""comments"">
  <p> a: 424</p>
</div>",900,1
3531,,igt-2080,prichadz-am,'come',,prichadz-am,come-1.SG.PRES,,,,,,,prichadz-am,come-1.SG.PRES,"<div class=""comments"">
  <p> a: 424</p>
</div>",900,1
3532,,igt-2081,pridze-ch,'come',,pridze-ch,come-1..SG.PST,,,,,,,pridze-ch,come-1..SG.PST,"<div class=""comments"">
  <p> a: 424</p>
</div>",900,1
3533,,igt-2082,sym prišol,'come',,sym prišol,be.1.SG.PRES come.PST.PTCP.SG.M (=PERF),,,,,,,sym prišol,be.1.SG.PRES come.PST.PTCP.SG.M (=PERF),"<div class=""comments"">
  <p> a: 424</p>
</div>",900,1
3534,,igt-2083,prindzu,'come',,prindzu,come.1.SG.FUT.PFV,,,,,,,prindzu,come.1.SG.FUT.PFV,"<div class=""comments"">
  <p> a: 424</p>
</div>",900,1
3536,,igt-2085,wza-c,'take',,wza-c,take.PFV-INF,,,,,,,wza-c,take.PFV-INF,"<div class=""comments"">
  <p> a: 424</p>
</div>",900,1
3539,,igt-2088,klas-c,'put',,klas-c,put.IMPF-INF,,,,,,,klas-c,put.IMPF-INF,"<div class=""comments"">
  <p> a: 424</p>
</div>",900,1
3540,,igt-2089,popadny-c,'aim',,popadny-c,aim.PFV.INF,,,,,,,popadny-c,aim.PFV.INF,"<div class=""comments"">
  <p> a: 424</p>
</div>",900,1
3541,,igt-2090,loji-c,'aim',,loji-c,aim.IMPF.INF,,,,,,,loji-c,aim.IMPF.INF,"<div class=""comments"">
  <p> a: 424</p>
</div>",900,1
3543,,2272,comitative marker: -lɛ,,,,,,,,,"<div class=""comments"">
  <dl>
    <dt>comitative marker:</dt>
    <dd>-lɛ</dd>
  </dl>
</div>",,,,,1968,1
3544,,2273,"ARM: sál ""arm"" [Y-E only], ""hand"" HAND: sál ""arm"" [Y-E only], ""hand""",,,,,,,,,"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>ARM: sál</p>
</td>
<td>
<p>""arm"" [Y-E only], ""hand""</p>
</td>
</tr>
<tr>
<td>
<p>HAND: sál</p>
</td>
<td>
<p>""arm"" [Y-E only], ""hand""</p>
</td>
</tr>
</table></div>",,,,,1014,1
3545,,2274,pronominal and adnominal differentiated: kiːnɛ+INFL iːnɛ+INFL kiːnɛ iːnɛ proximal distal,,,,,,,,,"<div class=""Example""><p class=""p1""> </p>
<p class=""p1"">pronominal and adnominal differentiated:</p>
<p class=""p1""> </p>
<table cellpadding=""0"" cellspacing=""0"" class=""t1"">
<tbody>
<tr>
<td class=""td4"" valign=""top"">
<p class=""p1"">kiːnɛ+INFL</p>
<p class=""p1"">iːnɛ+INFL</p>
</td>
<td class=""td8"" valign=""top"">
<p class=""p1"">kiːnɛ</p>
<p class=""p1"">iːnɛ</p>
</td>
<td class=""td9"" valign=""top"">
<p class=""p1"">proximal</p>
<p class=""p1"">distal</p>
</td>
</tr>
</tbody>
</table>
<p class=""p1""> </p>
<p class=""p1""> </p></div>",,,,,2507,1
3546,,igt-2093,tu okkaypo ek,Two youths came.,,tu	okkaypo	ek,two	youth	come.SG,,,,,,,"<span style=""font-style:italic;""><i>tu</i></span>	<span style=""font-style:italic;""><i>okkaypo</i></span>	<span style=""font-style:italic;""><i>ek</i></span>",two	youth	come. SG,,2486,1
3547,,igt-2094,tupesaniw ka arki ruwe ne,Eight people came.,,tupesaniw	ka	arki	ruwe	ne,eight	even	come.PL	NMLZ	COP,,,,,,,"<span style=""font-style:italic;""><i>tupesaniw</i></span>	<span style=""font-style:italic;""><i>ka</i></span>	<span style=""font-style:italic;""><i>arki</i></span>	<span style=""font-style:italic;""><i>ruwe</i></span>	<span style=""font-style:italic;""><i>ne</i></span>",eight	even	come. PL	NMLZ	COP,,2486,1
3548,,2276,"galaygay ""finger""",,,,,,,,,"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>galaygay</p>
</td>
<td>
<p>""finger""</p>
</td>
</tr>
</table></div>",,,,,1801,1
3549,,igt-2095,Eileen - t̪oya,Eileen and them,,Eileen - t̪oya,Eileen - APL,,,,,,,"Eileen<span class=""s2"">-</span>t̪oya","Eileen<span class=""s2"">-</span>APL","<div class=""comments"">
  
</div>",946,1
3550,,igt-2096,bá˙ - t̪oya,who [all]?,,bá˙ - t̪oya,who - APL,,,,,,,"bá˙<span class=""s2"">-</span>t̪oya","who<span class=""s2"">-</span>APL","<div class=""comments"">
  
</div>",946,1
3551,,2278,pronominal and adnominal identical: hierdie daardie proximal distal,,,,,,,,,"<div class=""Example""><p class=""p1""> </p>
<p class=""p1"">pronominal and adnominal identical:</p>
<p class=""p1""> </p>
<table cellpadding=""0"" cellspacing=""0"" class=""t1"">
<tbody>
<tr>
<td class=""td4"" valign=""top"">
<p class=""p1"">hierdie</p>
<p class=""p1"">daardie</p>
</td>
<td class=""td7"" valign=""top"">
<p class=""p1"">proximal</p>
<p class=""p1"">distal</p>
</td>
</tr>
</tbody>
</table>
<p class=""p1""> </p>
<p class=""p1""> </p></div>",,,,,1380,1
3552,,2279,"aguspo siquegá ""dedo""",,,,,,,,,"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>aguspo siquegá</p>
</td>
<td>
<p>""dedo""</p>
</td>
</tr>
</table></div>",,,,,1062,1
3553,,2280,"nninjiins ""my finger""",,,,,,,,,"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>nninjiins</p>
</td>
<td>
<p>""my finger""</p>
</td>
</tr>
</table></div>",,,,,2207,1
3554,,igt-2097,es,I,,es,1sg.nom,,,,,,,<i>es</i>,1sg.nom,"<div class=""comments"">
  
</div>",2391,1
3555,,igt-2098,menk,we,,menk,1pl.nom,,,,,,,<i>menk</i>,1pl.nom,"<div class=""comments"">
  
</div>",2391,1
3556,,2282,"ARM: poa ""forelimbs, arm, hand, wing, pectoral fin, sleeve of a
shirt"" HAND: poa ""forelimbs, arm, hand, wing, pectoral fin, sleeve of a
shirt""",,,,,,,,,"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>ARM: poa</p>
</td>
<td>
<p>""forelimbs, arm, hand, wing, pectoral fin, sleeve of a
shirt""</p>
</td>
</tr>
<tr>
<td>
<p>HAND: poa</p>
</td>
<td>
<p>""forelimbs, arm, hand, wing, pectoral fin, sleeve of a
shirt""</p>
</td>
</tr>
</table></div>",,,,,2294,1
3557,,igt-2115,meta-ti,'throw',,meta-ti,throw.IMPF-INF,,,,,,,meta-ti,throw.IMPF-INF,"<div class=""comments"">
  <p> in passim</p>
</div>",1983,1
3558,,igt-2099,je,'be',,je,be.PRES.3.SG,,,,,,,je,be.PRES.3.SG,"<div class=""comments"">
  <p> in passim</p>
</div>",1983,1
3559,,igt-2100,bil je,'be',,bil je,be.PST.PTCP.M.SG be.PRES.3.SG,,,,,,,bil je,be.PST.PTCP.M.SG be.PRES.3.SG,"<div class=""comments"">
  <p> in passim</p>
</div>",1983,1
3560,,igt-2101,bo,'be',,bo,be.FUT.3.SG,,,,,,,bo,be.FUT.3.SG,"<div class=""comments"">
  <p> in passim</p>
</div>",1983,1
3561,,igt-2102,gre-m,'go',,gre-m,go.PRES-1.SG,,,,,,,gre-m,go.PRES-1.SG,"<div class=""comments"">
  <p> in passim</p>
</div>",1983,1
3562,,igt-2103,šel sem,'go',,šel sem,go.PST.PTCP.SG.M be.1.SG.PRES (=PST),,,,,,,šel sem,go.PST.PTCP.SG.M be.1.SG.PRES (=PST),"<div class=""comments"">
  <p> in passim</p>
</div>",1983,1
3563,,igt-2104,bo-m šel,'go',,bo-m šel,be.FUT-1.SG,,,,,,,bo-m šel,be.FUT-1.SG,"<div class=""comments"">
  <p> in passim</p>
</div>",1983,1
3564,,igt-2105,pride-m,'come',,pride-m,come-PRES.1.SG,,,,,,,pride-m,come-PRES.1.SG,"<div class=""comments"">
  <p> in passim</p>
</div>",1983,1
3565,,igt-2106,prišel sem,'come',,prišel sem,come.PST.PTCP.SG.M be.1.SG.PRES (=PST),,,,,,,prišel sem,come.PST.PTCP.SG.M be.1.SG.PRES (=PST),"<div class=""comments"">
  <p> in passim</p>
</div>",1983,1
3566,,igt-2107,bom prišel,'come',,bom prišel,be.FUT.1.SG come.PST.PTCP.SG.M (=FUT),,,,,,,bom prišel,be.FUT.1.SG come.PST.PTCP.SG.M (=FUT),"<div class=""comments"">
  <p> in passim</p>
</div>",1983,1
3567,,igt-2108,reč-I,"'say, speak'",,reč-I,say.PFV.INF,,,,,,,reč-I,say.PFV.INF,"<div class=""comments"">
  <p> in passim</p>
</div>",1983,1
3568,,igt-2109,reka-ti/pravi-ti,"'say, speak'",,reka-ti/pravi-ti,say.IMPF-INF,,,,,,,reka-ti/pravi-ti,say.IMPF-INF,"<div class=""comments"">
  <p> in passim</p>
</div>",1983,1
3569,,igt-2110,stori-ti,'do',,stori-ti,do.PFV-INF,,,,,,,stori-ti,do.PFV-INF,"<div class=""comments"">
  <p> in passim</p>
</div>",1983,1
3570,,igt-2111,dela-ti,'do',,dela-ti,do.IMPF-INF,,,,,,,dela-ti,do.IMPF-INF,"<div class=""comments"">
  <p> in passim</p>
</div>",1983,1
3571,,igt-2112,vze-ti,'take',,vze-ti,take.PFV-INF,,,,,,,vze-ti,take.PFV-INF,"<div class=""comments"">
  <p> in passim</p>
</div>",1983,1
3572,,igt-2113,jema-ti,'take',,jema-ti,take.IMPF-INF,,,,,,,jema-ti,take.IMPF-INF,"<div class=""comments"">
  <p> in passim</p>
</div>",1983,1
3573,,igt-2114,vreč-I,'throw',,vreč-I,throw.PFV-INF,,,,,,,vreč-I,throw.PFV-INF,"<div class=""comments"">
  <p> in passim</p>
</div>",1983,1
3574,,igt-2116,udari-ti,"'hit, beat'",,udari-ti,hit.PFV-INF,,,,,,,udari-ti,hit.PFV-INF,"<div class=""comments"">
  <p> in passim</p>
</div>",1983,1
3575,,igt-2117,tolči/biti,"'hit, beat'",,tolči/biti,hit.IMPF.INF,,,,,,,tolči/biti,hit.IMPF.INF,"<div class=""comments"">
  <p> in passim</p>
</div>",1983,1
3576,,2284,pronominal and adnominal differentiated: k5Î́ tá =k5Î =ta proximal distal,,,,,,,,,"<div class=""Example""><p class=""p1""> </p>
<p class=""p1"">pronominal and adnominal differentiated:</p>
<p class=""p1""> </p>
<table cellpadding=""0"" cellspacing=""0"" class=""t1"">
<tbody>
<tr>
<td class=""td22"" valign=""top"">
<p class=""p1"">k5Î́</p>
<p class=""p1"">tá</p>
</td>
<td class=""td5"" valign=""top"">
<p class=""p1"">=k5Î</p>
<p class=""p1"">=ta</p>
</td>
<td class=""td8"" valign=""top"">
<p class=""p1"">proximal</p>
<p class=""p1"">distal</p>
</td>
</tr>
</tbody>
</table>
<p class=""p1""> </p>
<p class=""p1""> </p></div>",,,,,2335,1
3577,,2285,"ARM: merhe ""upper arm"" [mer ""knuckle, joint""] HAND: he ""hand, forearm""",,,,,,,,,"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>ARM: merhe</p>
</td>
<td>
<p>""upper arm"" [mer ""knuckle, joint""]</p>
</td>
</tr>
<tr>
<td>
<p>HAND: he</p>
</td>
<td>
<p>""hand, forearm""</p>
</td>
</tr>
</table></div>",,,,,1007,1
3578,,2286,instrumental and comitative marker: -k,,,,,,,,,"<div class=""comments"">
  <dl>
    <dt>instrumental and comitative marker:</dt>
    <dd>-k</dd>
  </dl>
</div>",,,,,2288,1
3579,,2287,"ARM: pobaco ""brazo ... mano"" HAND: pobaco ""brazo ... mano"" Nobaco ""mano""",,,,,,,,,"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>ARM: pobaco</p>
</td>
<td>
<p>""brazo ... mano""</p>
</td>
</tr>
<tr>
<td>
<p>HAND: pobaco</p>
</td>
<td>
<p>""brazo ... mano""</p>
</td>
</tr>
<tr>
<td>
<p>Nobaco</p>
</td>
<td>
<p>""mano""</p>
</td>
</tr>
</table></div>",,,,,573,1
3580,,2288,"ARM: ugáán' ""his arm"" HAND: ulé' ""his hand""",,,,,,,,,"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>ARM: ugáán'</p>
</td>
<td>
<p>""his arm""</p>
</td>
</tr>
<tr>
<td>
<p>HAND: ulé'</p>
</td>
<td>
<p>""his hand""</p>
</td>
</tr>
</table></div>",,,,,475,1
3581,,igt-2118,ma sarhao-k-ok’-ben ar Cando aben bhɔr-a-ben-ma!,"May you be praised, and may Chando bless you two!",,ma	sarhao-k-ok’-ben	ar	Cando	aben	bhɔr-a-ben-ma!,MOD	praise-OPT-MID-2DU.SUBJ	and	Chando	you-DU	bless-APPL-2DU.OBJ-MOD,,,,,,,ma	sarhao-k-ok’-ben	ar	Cando	aben	bhɔr-a-ben-ma!,MOD	praise-OPT-MID-2DU.SUBJ	and	Chando	you-DU	bless-APPL-2DU.OBJ-MOD,"<div class=""comments"">
  

<p> </p>

</div>",1570,1
3582,,2290,"meʔhóle ""finger""",,,,,,,,,"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>meʔhóle</p>
</td>
<td>
<p>""finger""</p>
</td>
</tr>
</table></div>",,,,,2307,1
3583,,igt-2119,pinti nawu wakara-yi,They say he is coming.,,pinti	nawu	wakara-yi,QUOT	3SG.NON.F	come-PRES,,,,,,,"<span style=""font-style:italic;""><i>pinti</i></span>	<span style=""font-style:italic;""><i>nawu</i></span>	<span style=""font-style:italic;""><i>wakara-yi</i></span>",QUOT	3SG.NON.F	come-PRES,,2328,1
3584,,igt-2120,ŋapa talara wakara-la ŋana-yi-ku,It looks/feels/smells like rain will come.,,ŋapa	talara	wakara-la	ŋana-yi-ku,water	rain.ABS	come-FUT	AUX-PRES-SENS,,,,,,,"<span style=""font-style:italic;""><i>ŋapa</i></span>	<span style=""font-style:italic;""><i>talara</i></span>	<span style=""font-style:italic;""><i>wakara-la</i></span>	<span style=""font-style:italic;""><i>ŋana-yi-ku</i></span>",water	rain.ABS	come-FUT	AUX-PRES-SENS,,2328,1
3585,,2292,"ARM: wɔ ""arm (inclusive of hand); hand"" HAND: wɔ ""arm (inclusive of hand); hand"" pɔ ku pɔ ""hands (lit. things catch things)""",,,,,,,,,"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>ARM: wɔ</p>
</td>
<td>
<p>""arm (inclusive of hand); hand""</p>
</td>
</tr>
<tr>
<td>
<p>HAND: wɔ</p>
</td>
<td>
<p>""arm (inclusive of hand); hand""</p>
</td>
</tr>
<tr>
<td>
<p>pɔ ku pɔ</p>
</td>
<td>
<p>""hands (lit. things catch things)""</p>
</td>
</tr>
</table></div>",,,,,284,1
3586,,igt-2121,ce,I we,,ce,1sg/1pl,,,,,,,<i>ce</i>,1sg/1pl,"<div class=""comments"">
  
</div>",2254,1
3587,,igt-2122,nə olar birčə kečə kör-ə-m juxu-da sən-i,If only I would dream about you one single night.,,nə	olar	birčə	kečə	kör-ə-m	juxu-da	sən-i,what	possibly	single	night	see-OPT-1SG	dream-LOC	you-ACC,,,,,,,nə	olar	birčə	kečə	kör-ə-m	juxu-da	sən-i,what	possibly	single	night	see-OPT-1SG	dream-LOC	you-ACC,"<div class=""comments"">
  <p> </p>

<p> </p>

</div>",2144,1
3588,,2295,"son-ka-rak ""finger""",,,,,,,,,"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>son-ka-rak</p>
</td>
<td>
<p>""finger""</p>
</td>
</tr>
</table></div>",,,,,2536,1
3589,,igt-2123,go-u-ji-k'ä-qa,He came with you.,,go-u-ji-k'ä-qa,3 SG-2SG  - WITH-  come- PERF,,,,,,,"<span style=""font-style:italic;""><i>go-u-ji-k'ä-qa</i></span>",3 SG-2SG  - WITH-  come- PERF,,1968,1
3590,,igt-2124,roka,‘move’,,roka,move.sg,,,,,,,roka,move.sg,"<div class=""comments"">
  <p> </p>
</div>",2436,1
3591,,igt-2125,rea,‘move’,,rea,move.pl,,,,,,,rea,move.pl,"<div class=""comments"">
  <p> </p>
</div>",2436,1
3592,,igt-2126,ngi-,I,,ngi-,1 SG,,,,,,,ngi-,"<span class=""s1"">1</span>SG","<div class=""comments"">
  
</div>",2516,1
3593,,igt-2127,si-,we,,si-,1 PL,,,,,,,si-,"<span class=""s1"">1</span>PL","<div class=""comments"">
  
</div>",2516,1
3594,,2299,"ARM: lamane ""the hand, the arm"" HAND: lamane ""the hand, the arm""",,,,,,,,,"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>ARM: lamane</p>
</td>
<td>
<p>""the hand, the arm""</p>
</td>
</tr>
<tr>
<td>
<p>HAND: lamane</p>
</td>
<td>
<p>""the hand, the arm""</p>
</td>
</tr>
</table></div>",,,,,1107,1
3595,,2300,te,,,,,,,,,"<div class=""Example""><p><i>te</i></p></div>",,,,,2295,1
3596,,igt-2128,hai con chó,two dogs,,hai	con	chó,two	CLF	dog,,,,,,,<i>hai </i>	<i><b>con </b></i>	<i>chó </i>,two	CLF	dog,,2522,1
3597,,2302,comitative marker: ka,,,,,,,,,"<div class=""comments"">
  <dl>
    <dt>comitative marker:</dt>
    <dd>ka</dd>
  </dl>
</div>",,,,,2224,1
3598,,2303,"ARM: i'xmacxpān ""su brazo"" HAND: macan ""la mano (del cuerpo humano ... la pata delantera de un
animal",,,,,,,,,"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>ARM: i'xmacxpān</p>
</td>
<td>
<p>""su brazo""</p>
</td>
</tr>
<tr>
<td>
<p>HAND: macan</p>
</td>
<td>
<p>""la mano (del cuerpo humano ... la pata delantera de un
animal</p>
<p>cuadrúpedo ... el mango de una herramienta""</p>
</td>
</tr>
</table></div>",,,,,2031,1
4747,,igt-2779,mamaʔ,‘go’,,mamaʔ,go.pl/more intense,,,,,,,mamaʔ,go.pl/more intense,"<div class=""comments"">
  <p> </p>
</div>",2491,1
3599,,igt-2129,nupinap ieŋ u tie tinin u lə mur u,‘the good dancing of that team’ (or: ‘the dancing of that good team’),,nupinap	ieŋ	u	tie	tinin	u	lə	mur	u,dance.an	3f.possII.3f	3f	there	team(f)	3f	attr	good	3f,,,,,,,nupinap	ieŋ	u	tie	tinin	u	lə	mur	u,dance.an	3f.possII.3f	3f	there	team(f)	3f	attr	good	3f,"<div class=""comments"">
  
</div>",2025,1
3600,,igt-2130,Palala=tuŋ o [u nupiap ma keip mi lə gigina am].,‘I’m fed up with carrying heavy baskets.,,Palala=tuŋ	o	[u	nupiap	ma	keip	mi	lə	gigina	am].,be.fed.up=1sg.subj	3f.poss1	dummy	carry.an(f)	pl.poss.1	basket.nsg	3pl	attr	heavy	pl,,,,,,,Palala=tuŋ	o	[u	nupiap	ma	keip	mi	lə	gigina	am].,be.fed.up=1sg.subj	3f.poss1	dummy	carry.an(f)	pl.poss.1	basket.nsg	3pl	attr	heavy	pl,"<div class=""comments"">
  
</div>",2025,1
3601,,igt-2131,Kawish '-we-lya?,What can I do?,,Kawish	'-we-lya?,what	1-do-OPT,,,,,,,<i>Kawish </i>	<i>'-we-lya? </i>,what	1-do-OPT,,2479,1
3602,,2306,"a:brang ""finger""",,,,,,,,,"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>a:brang</p>
</td>
<td>
<p>""finger""</p>
</td>
</tr>
</table></div>",,,,,1928,1
3603,,2307,mo- 2nd sg. hon. - bound subject prefixes have a 2nd sg/pl polite form -mo which is identical with the reflexive marker,,,,,,,,,"<div class=""Example"">
<table class=""example"">
<tr>
<td>
<p><i>mo-</i></p>
</td>
<td>
<p>2nd sg. hon.</p>
</td>
<td>
<p>- bound subject prefixes have a 2nd sg/pl polite form</p>
<p><i>-mo</i> which is identical with the reflexive marker
<i>–mo</i></p>
</td>
</tr>
<tr>
<td>
<p><i>mo-</i></p>
</td>
<td>
<p>2nd pl. hon.</p>
</td>
<td></td>
</tr>
<tr>
<td>
<p><i>name'wa-n-ci-cin</i></p>
</td>
<td>
<p>2nd pl. hon.</p>
</td>
<td>
<p>- 2nd pl polite indpendent pronoun; attached are a</p>
<p>plural affix <i>-n</i>, the reduplicated honorific affix
<i>-ci</i>, and</p>
<p><i>-cin</i></p>
</td>
</tr>
<tr>
<td>
<p><i>te</i></p>
</td>
<td>
<p>2nd sg. hon.</p>
</td>
<td>
<p>- the uspecific object pronoun <i>te-</i> is used as a 2nd</p>
<p>person sg/pl polite object prefix</p>
</td>
</tr>
<tr>
<td>
<p><i>te'wa-cin</i></p>
</td>
<td>
<p>2nd sg. hon.</p>
</td>
<td>
<p>- this is the 2nd sg free pro plus a honorific marker</p>
<p><i>-cin</i>;</p>
<p>- the 2nd person sg free pro <i>te'wa-tl</i> is identical
with</p>
<p>the 1st pl free pro, except that this form <i>te'wa-n</i> has
a</p>
<p>plural marker attached</p>
</td>
</tr>
</table></div>",,,,,2102,1
3604,,2308,pronominal and adnominal differentiated: in+INFL un+INFL in un proximal distal,,,,,,,,,"<div class=""Example""><p class=""p1""> </p>
<p class=""p1"">pronominal and adnominal differentiated:</p>
<p class=""p1""> </p>
<table cellpadding=""0"" cellspacing=""0"" class=""t1"">
<tbody>
<tr>
<td class=""td13"" valign=""top"">
<p class=""p1"">in+INFL</p>
<p class=""p1"">un+INFL</p>
</td>
<td class=""td14"" valign=""top"">
<p class=""p1"">in</p>
<p class=""p1"">un</p>
</td>
<td class=""td20"" valign=""top"">
<p class=""p1"">proximal</p>
<p class=""p1"">distal</p>
</td>
</tr>
</tbody>
</table>
<p class=""p1""> </p>
<p class=""p1""> </p></div>",,,,,2537,1
3605,,2309,final disyllabic reduplication (Chapman and Derbyshire 1991) a-odora-dora-bakhia-loamani-hi 1pl -gather.up-,,,,,,,,,"<div class=""example""><table class=""example""><tr>
        <td>
          <p> </p>
        </td>
        <td colspan=""4"">
          <p>final disyllabic reduplication <a class=""Reference"" href=""http://wals.info/refdb/record/Chapman-and-Derbyshire-1991"" title=""view reference details"">(Chapman and Derbyshire 1991)</a> </p>
        </td>
      </tr>
      <tr>
        <td>
          <p style=""font-style:italic;""> </p>
        </td>
        <td colspan=""4"">
          <p style=""font-style:italic;"">a-odora-dora-bakhia-loamani-hi </p>
        </td>
      </tr>
      <tr>
        <td>
          <p>
            <span />
          </p>
        </td>
        <td colspan=""4"">
          <p>
            <span>1pl</span>
            <span>-gather.up-</span>
            <span>redup</span>
            <span>-frequently-really-</span>
            <span>theme</span>
          </p>
        </td>
      </tr>
      <tr>
        <td>
          <p> </p>
        </td>
        <td colspan=""4"">
          <p>‘We keep gathering them.’ </p>
        </td>
      </tr>
    </table></div>",,,,,2439,1
3606,,2310,may ‘3 rd pronoun’ kon ‘this’ ro ‘middle distance from1’ gitin ‘foreground’ gusu ‘nearer middle’ geta,,,,,,,,,"<div class=""Example""><table class=""example"">
<tr>
<td>
<p><i>may</i></p>
</td>
<td>
<p>‘3<sup>rd</sup> pronoun’</p>
</td>
</tr>
<tr>
<td>
<p><i>kon</i></p>
</td>
<td>
<p>‘this’</p>
</td>
</tr>
<tr>
<td>
<p><i>ro</i></p>
</td>
<td>
<p>‘middle distance from1’</p>
</td>
</tr>
<tr>
<td>
<p><i>gitin</i></p>
</td>
<td>
<p>‘foreground’</p>
</td>
</tr>
<tr>
<td>
<p><i>gusu</i></p>
</td>
<td>
<p>‘nearer middle’</p>
</td>
</tr>
<tr>
<td>
<p><i>geta</i></p>
</td>
<td>
<p>‘farthest’</p>
</td>
</tr>
</table></div>",,,,,2083,1
3607,,igt-2132,hayatowi̵ si̵mati̵= si̵mi̵ ma= toika=ti=,41,,hayatowi̵	si̵mati̵=	si̵mi̵	ma=	toika=ti=,four	ten	one	?	?,,,,,,,hayatowi̵	si̵mati̵=	si̵mi̵	ma=	toika=ti=,four	ten	one	?	?,"<div class=""comments"">
  <p> </p>
</div>",2419,1
3608,,igt-2133,eƛ’e-čó- y,Are you going?,,eƛ’e-čó- y,go-PRES.1/2- q,,,,,,,"<span style=""font-style:italic;"">eƛ’e-čó-<b>y</b> </span>","go-PRES.1/2-<span style=""font-weight:bold; font-variant: small-caps;"">q</span>",,2463,1
3609,,igt-2134,mán,I,,mán,1sg,,,,,,,<i>mán</i>,1sg,"<div class=""comments"">
  
</div>",2537,1
3610,,igt-2135,mā́,we,,mā́,1pl,,,,,,,<i>mā́</i>,1pl,"<div class=""comments"">
  
</div>",2537,1
3611,,2314,instrumental marker: -m,,,,,,,,,"<div class=""comments"">
  <dl>
    <dt>instrumental marker:</dt>
    <dd>-m</dd>
  </dl>
</div>",,,,,2308,1
