id,language_id,language_name,xhtml
2505,mme,Mari (Meadow),"<div class=""comments"">
  
</div>"
2506,mmb,Mangap-Mbula,"<div class=""comments"">
  <p>“In the case of personal names,bizin functions collectively, indicating a group of people closely associated with the named person. Thus, an expressionSilas bizinis used to refer to Silas’s immediate family, household, or some other group of people very closely associated with him.”</p>

</div>"
2507,nsn,Nisenan,"<div class=""Example""><p>[the words for arm and hand do not also designate finger]</p></div>"
2508,pan,Panjabi,"<div class=""Example""><p>3<sup>rd</sup> pronouns same as demonstratives</p>
<table class=""example"">
<tr>
<td>
<p><i>é</i></p>
</td>
<td>
<p>‘proximate’</p>
</td>
</tr>
<tr>
<td>
<p><i>ó</i></p>
</td>
<td>
<p>‘remote’</p>
</td>
</tr>
</table></div>"
2509,khs,Khasi,"<div class=""comments"">
  <dl>
    <dt>comitative marker:</dt>
    <dd>bat</dd>
  </dl>
</div>"
2510,cle,Chinantec (Lealao),"<div class=""Example""><p class=""p1""> </p>
<p class=""p1"">pronominal and adnominal differentiated:</p>
<p class=""p1""> </p>
<table cellpadding=""0"" cellspacing=""0"" class=""t1"">
<tbody>
<tr>
<td class=""td10"" valign=""top"">
<p class=""p1"">la<span class=""s1""><sup>M</sup></span>+INFL 
ʔi<span class=""s1""><sup>M</sup></span></p>
<p class=""p1"">nï<span class=""s1""><sup>M</sup></span>+INFL 
ʔi<span class=""s1""><sup>M</sup></span></p>
<p class=""p1"">ní<span class=""s1""><sup>M</sup></span>+INFL 
?i<span class=""s1""><sup>M</sup></span></p>
</td>
<td class=""td12"" valign=""top"">
<p class=""p1"">la<span class=""s1""><sup>M</sup></span></p>
<p class=""p1"">nï<span class=""s1""><sup>M</sup></span></p>
<p class=""p1"">ní<span class=""s1""><sup>M</sup></span></p>
</td>
<td class=""td7"" valign=""top"">
<p class=""p1"">proximal</p>
<p class=""p1"">medial</p>
<p class=""p1"">distal</p>
</td>
</tr>
</tbody>
</table>
<p class=""p1""> </p>
<p class=""p1""> </p></div>"
2511,bwa,Waalubal,"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>ARM: gaŋgil</p>
</td>
<td>
<p>""arm""</p>
</td>
</tr>
<tr>
<td>
<p>HAND: ḑambay</p>
</td>
<td>
<p>""hand, finger""</p>
</td>
</tr>
</table></div>"
2512,hin,Hindi,"<div class=""comments"">
  <dl>
    <dt>instrumental marker:</dt>
    <dd>se</dd>
  </dl>
</div>"
2513,shk,Shipibo-Konibo,"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>ARM: ponyan</p>
</td>
<td>
<p>""brazo""</p>
</td>
</tr>
<tr>
<td>
<p>HAND: mequen</p>
</td>
<td>
<p>""mano""</p>
</td>
</tr>
</table></div>"
2514,chk,Chukchi,
2515,tur,Turkish,
2516,mnd,Mandarin,"<div class=""Example""><p><i>chá</i></p></div>"
2517,ava,Avar,
2518,mau,Maung,"<div class=""comments"">
  <p> </p>
</div>"
2519,skp,Selkup,"<div class=""comments"">
  
</div>"
2520,jva,Javae (Karaja),"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>wadebo</p>
</td>
<td>
<p>""digitus""</p>
</td>
</tr>
</table></div>"
2521,say,Popoluca (Sayula),"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>cu̶'ju̶jp</p>
</td>
<td>
<p>""dedo de la mano""</p>
</td>
</tr>
</table></div>"
2522,xoo,!Xóõ,
2523,ain,Ainu,"<div class=""comments"">
  <p> </p>
<p>note: Some dialects have a decimal system;</p>
</div>"
2524,chr,Chrau,"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>ARM: ti</p>
</td>
<td>
<p>""arm, hand""</p>
</td>
</tr>
<tr>
<td>
<p>HAND: ti</p>
</td>
<td>
<p>""arm, hand""</p>
</td>
</tr>
</table></div>"
2525,koa,Koasati,"<div class=""comments"">
  <p> </p>
</div>"
2526,swa,Swahili,"<div class=""comments"">
  <p>reciprocal marker: an(a)</p>
</div>"
2527,kro,Krongo,"<div class=""comments"">
  
</div>"
2528,apl,Apalai,"<div class=""comments"">
  <p>([288], 76[222], 55[104], 44[54], 41[53], 38[31], 33[1])</p>
</div>"
2529,tab,Taba,
2530,tur,Turkish,
2531,mut,Mutsun,"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>ARM: xunyois</p>
</td>
<td>
<p>""arm""</p>
</td>
</tr>
<tr>
<td>
<p>HAND: isu, is΄u</p>
</td>
<td>
<p>""hand""</p>
</td>
</tr>
</table></div>"
2532,heb,Hebrew (Modern),"<div class=""comments"">
  
</div>"
2533,tuc,Tucano,"<div class=""comments"">
  <p>(Alexandra Aikhenvald, p.c.)</p>
</div>"
2534,lak,Lak,"<div class=""comments"">
  
</div>"
2535,chk,Chukchi,
2536,swe,Swedish,
2537,ndy,Ndyuka,"<div class=""comments"">
  <p> </p>
<p>note: In the third person singular only, there is an unstressed pronoun a restricted to subject position.</p>
</div>"
2538,mpy,Mapoyo,"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>ARM: uyapueri</p>
</td>
<td>
<p>""brazo""</p>
</td>
</tr>
<tr>
<td>
<p>HAND: gemeco</p>
</td>
<td>
<p>""mano""</p>
</td>
</tr>
</table></div>"
2539,ati,Attikamek,"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>ARM: -spiton-</p>
</td>
<td>
<p>""arm""</p>
</td>
</tr>
<tr>
<td>
<p>HAND: -ciccy-</p>
</td>
<td>
<p>""hand, finger""</p>
</td>
</tr>
<tr>
<td>
<p>-cicca:n</p>
</td>
<td>
<p>""hand, finger""</p>
</td>
</tr>
</table></div>"
2540,grj,Guarijío,"<div class=""comments"">
  <dl>
    <dt>comitative marker:</dt>
    <dd>amahá</dd>
  </dl>
</div>"
2602,luv,Luvale,"<div class=""comments"">
  <p> </p>
</div>"
2603,fij,Boumaa Fijian,
2842,nne,Nengone,"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>guanin</p>
</td>
<td>
<p>""finger""</p>
</td>
</tr>
</table></div>"
2541,pit,Pitjantjatjara,"<div class=""example"">
    <table border=""0"">
      
      <tr>
        <td style=""vertical-align:top; padding-left:0.075in; padding-right:0.075in; padding-top:0in; padding-bottom:0in; border-style:none;"">
          <p> </p>
        </td>
        <td style=""vertical-align:top; padding-left:0.075in; padding-right:0.075in; padding-top:0in; padding-bottom:0in; border-style:none;"">
          <p>
            <span>‘man’ (</span>
            <span style=""font-variant: small-caps;"">sg</span>
            <span>)</span>
          </p>
        </td>
        <td style=""vertical-align:top; padding-left:0.075in; padding-right:0.075in; padding-top:0in; padding-bottom:0in; border-style:none;"">
          <p> </p>
        </td>
        <td style=""vertical-align:top; padding-left:0.075in; padding-right:0.075in; padding-top:0in; padding-bottom:0in; border-style:none;"">
          <p>
            <span style=""font-variant: small-caps;"">1sg</span>
            <span> personal pronoun</span>
          </p>
        </td>
      </tr>
      <tr>
        <td style=""vertical-align:top; padding-left:0.075in; padding-right:0.075in; padding-top:0in; padding-bottom:0in; border-style:none;"">
          <p>Absolutive </p>
        </td>
        <td style=""vertical-align:top; padding-left:0.075in; padding-right:0.075in; padding-top:0in; padding-bottom:0in; border-style:none;"">
          <p style=""font-style:italic;"">wati </p>
        </td>
        <td style=""vertical-align:top; padding-left:0.075in; padding-right:0.075in; padding-top:0in; padding-bottom:0in; border-style:none;"">
          <p>Nominative </p>
        </td>
        <td style=""vertical-align:top; padding-left:0.075in; padding-right:0.075in; padding-top:0in; padding-bottom:0in; border-style:none;"">
          <p style=""font-style:italic;"">ngayu-lu </p>
        </td>
      </tr>
      <tr>
        <td style=""vertical-align:top; padding-left:0.075in; padding-right:0.075in; padding-top:0in; padding-bottom:0in; border-style:none;"">
          <p>Ergative </p>
        </td>
        <td style=""vertical-align:top; padding-left:0.075in; padding-right:0.075in; padding-top:0in; padding-bottom:0in; border-style:none;"">
          <p style=""font-style:italic;"">wati-ngku </p>
        </td>
        <td style=""vertical-align:top; padding-left:0.075in; padding-right:0.075in; padding-top:0in; padding-bottom:0in; border-style:none;"">
          <p>Accusative </p>
        </td>
        <td style=""vertical-align:top; padding-left:0.075in; padding-right:0.075in; padding-top:0in; padding-bottom:0in; border-style:none;"">
          <p style=""font-style:italic;"">ngayu-nya </p>
        </td>
      </tr>
      <tr>
        <td style=""vertical-align:top; padding-left:0.075in; padding-right:0.075in; padding-top:0in; padding-bottom:0in; border-style:none;"">
          <p>
            <span>Purposive</span>
            <span>/ Genitive</span>
          </p>
        </td>
        <td style=""vertical-align:top; padding-left:0.075in; padding-right:0.075in; padding-top:0in; padding-bottom:0in; border-style:none;"">
          <p style=""font-style:italic;"">wati-ku </p>
        </td>
        <td style=""vertical-align:top; padding-left:0.075in; padding-right:0.075in; padding-top:0in; padding-bottom:0in; border-style:none;"">
          <p>Purposive/ Genitive </p>
        </td>
        <td style=""vertical-align:top; padding-left:0.075in; padding-right:0.075in; padding-top:0in; padding-bottom:0in; border-style:none;"">
          <p style=""font-style:italic;"">ngayu-ku </p>
        </td>
      </tr>
      <tr>
        <td style=""vertical-align:top; padding-left:0.075in; padding-right:0.075in; padding-top:0in; padding-bottom:0in; border-style:none;"">
          <p>
            <span>Loc</span>
            <span>ative/ Instrumental</span>
          </p>
        </td>
        <td style=""vertical-align:top; padding-left:0.075in; padding-right:0.075in; padding-top:0in; padding-bottom:0in; border-style:none;"">
          <p style=""font-style:italic;"">wati-ngka </p>
        </td>
        <td style=""vertical-align:top; padding-left:0.075in; padding-right:0.075in; padding-top:0in; padding-bottom:0in; border-style:none;"">
          <p>Locative/ Instrumental </p>
        </td>
        <td style=""vertical-align:top; padding-left:0.075in; padding-right:0.075in; padding-top:0in; padding-bottom:0in; border-style:none;"">
          <p style=""font-style:italic;"">ngayu-la </p>
        </td>
      </tr>
    </table>
  </div>
  
"
2542,ger,German,"<div class=""example"">
    <table border=""0"">
      
      <tr>
        <td>
          <p>
            <span>a.</span>
          </p>
        </td>
        <td>
          <p>
            <span style=""font-style:italic; font-weight:bold;"">Niemand</span>
          </p>
        </td>
        <td>
          <p>
            <span style=""font-style:italic;"">kam.</span>
          </p>
        </td>
        <td>
          <p>
            <span style=""font-style:italic;""> </span>
            <span>b.</span>
          </p>
        </td>
        <td>
          <p>
            <span style=""font-style:italic;"">Ich</span>
          </p>
        </td>
        <td>
          <p>
            <span style=""font-style:italic;"">habe</span>
          </p>
        </td>
        <td>
          <p>
            <span style=""font-style:italic; font-weight:bold;"">nichts</span>
          </p>
        </td>
        <td>
          <p>
            <span style=""font-style:italic;"">gesehen.</span>
          </p>
        </td>
      </tr>
      <tr>
        <td>
          <p>
            <span />
          </p>
        </td>
        <td>
          <p>
            <span>nobody</span>
          </p>
        </td>
        <td>
          <p>
            <span>came</span>
          </p>
        </td>
        <td>
          <p>
            <span />
          </p>
        </td>
        <td>
          <p>
            <span>I</span>
          </p>
        </td>
        <td>
          <p>
            <span>have</span>
          </p>
        </td>
        <td>
          <p>
            <span>nothing</span>
          </p>
        </td>
        <td>
          <p>
            <span>seen</span>
          </p>
        </td>
      </tr>
    </table>
  </div>
  
"
2543,eve,Evenki,"<div class=""comments"">
  
</div>"
2544,aco,Acoma,
2545,cmh,Chemehuevi,"<div class=""comments"">
  <dl>
    <dt>instrumental marker:</dt>
    <dd>-w(a)</dd>
  </dl>
</div>"
2546,wrn,Warndarang,
2547,cea,Cree (Eastern),"<div class=""comments"">
  <p>reciprocal marker: -ito-</p>
</div>"
2548,geo,Georgian,"<div class=""comments"">
  <p> ;  </p>
<p>note: The present tense system has a nominative–accusative case marking system.</p>
</div>"
2549,pip,Pipil,"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>ARM: mahkul</p>
</td>
<td>
<p>""arm and shoulder""</p>
</td>
</tr>
<tr>
<td>
<p>HAND: mah-</p>
</td>
<td>
<p>""'hand' (in compounds)""</p>
</td>
</tr>
<tr>
<td>
<p>ma:-</p>
</td>
<td>
<p>""'hand' (in compounds)""</p>
</td>
</tr>
<tr>
<td>
<p>-mey</p>
</td>
<td>
<p>""hand (hand and forearm), branch, sleeve, handle""</p>
</td>
</tr>
<tr>
<td>
<p>-may</p>
</td>
<td>
<p>""hand""</p>
</td>
</tr>
</table></div>"
2550,rap,Rapanui,"<div class=""comments"">
  <p> </p>
<p>note: In counting, the counting particle <i>ka</i> would beplaced before <i>epae hanere</i> and <i>eva'u 'ahuru</i>.</p>
</div>"
2551,prt,Piratapuyo,"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>õ'bõ pika</p>
</td>
<td>
<p>""finger""</p>
</td>
</tr>
</table></div>"
2552,acl,Acholi,"<div class=""comments"">
  <dl>
    <dt>instrumental and comitative marker:</dt>
    <dd>kì</dd>
  </dl>
</div>"
2553,war,Wari’,"<div class=""comments"">
  <p> </p>
<p>note: First and second person pronouns are never used in natural Wari to express subject or direct object.</p>
</div>"
2554,tuk,Tukang Besi,
2555,krk,Karok,"<div class=""comments"">
  <p> </p>
</div>"
2556,scr,Serbian-Croatian,"<div class=""Example""><p><i>čaj</i></p></div>"
2557,doy,Doyayo,
2558,pso,Pomo (Southeastern),"<div class=""comments"">
  <p> </p>


<p> </p>

</div>"
2559,otm,Mezquital Otomí,
2560,atq,Alutiiq,"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>tekeq</p>
</td>
<td>
<p>""finger""</p>
</td>
</tr>
</table></div>"
2561,gnn,Gunin,"<div class=""comments"">
  <dl>
    <dt>comitative marker:</dt>
    <dd>-gude</dd>
  </dl>
</div>"
2562,pem,Pemon,"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>yenna yun</p>
</td>
<td>
<p>""dedo pulgar""</p>
</td>
</tr>
<tr>
<td>
<p>enu-chi-tok</p>
</td>
<td>
<p>""dedo indice, apuntador""</p>
</td>
</tr>
</table></div>"
2563,mer,Meryam Mir,"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>pim</p>
</td>
<td>
<p>""finger; toe""</p>
</td>
</tr>
<tr>
<td>
<p>áwkey</p>
</td>
<td>
<p>""thumb""</p>
</td>
</tr>
</table></div>"
2564,knd,Kannada,"<div class=""comments"">
  <p> </p>
</div>"
2565,hzb,Hunzib,"<div class=""comments"">
  
</div>"
2566,,Pali,"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>ARM: bāhu</p>
</td>
<td>
<p>""arm""</p>
</td>
</tr>
<tr>
<td>
<p>bhuja</p>
</td>
<td>
<p>""arm, hand""</p>
</td>
</tr>
<tr>
<td>
<p>HAND: bhuja</p>
</td>
<td>
<p>""arm, hand""</p>
</td>
</tr>
<tr>
<td>
<p>hattha</p>
</td>
<td>
<p>""hand""</p>
</td>
</tr>
<tr>
<td>
<p>kara</p>
</td>
<td>
<p>""hand""</p>
</td>
</tr>
</table></div>"
2567,brs,Barasano,"<div class=""example""><table class=""example""><tr>
        <td>
          <p> </p>
        </td>
        <td>
          <p>/to-hʉ/ </p>
        </td>
        <td>
          <p>‘towards there’ </p>
        </td>
      </tr>
      <tr>
        <td>
          <p> </p>
        </td>
        <td>
          <p>/tĩbĩ-yã/ + /-hʉ/ -&gt; [tĩbĩ-yã-hʉ̃] </p>
        </td>
        <td>
          <p>‘to Otter River’ </p>
        </td>
      </tr>
      <tr>
        <td>
          <p> </p>
        </td>
        <td>
          <p> </p>
        </td>
        <td>
          <p>(left to right) </p>
        </td>
      </tr>
      <tr>
        <td>
          <p>
            <span />
          </p>
        </td>
        <td>
          <p>
            <span>/gahe/ ‘other’ + /-ĩ/ ‘3.</span>
            <span>m</span>
            <span>’ = [gãhĩ]</span>
          </p>
        </td>
        <td>
          <p>
            <span>‘another male’</span>
          </p>
        </td>
      </tr>
      <tr>
        <td>
          <p> </p>
        </td>
        <td>
          <p> </p>
        </td>
        <td>
          <p>(right to left) </p>
        </td>
      </tr>
    </table></div>"
2568,noc,Nocte,
2569,tmc,Timucua,"<div class=""comments"">
  <dl>
    <dt>comitative marker:</dt>
    <dd>quana</dd>
  </dl>
</div>"
2639,mrw,Muruwari,"<div class=""comments"">
  <dl>
    <dt>comitative marker:</dt>
    <dd>-pita</dd>
  </dl>
</div>"
2640,bsq,Basque,"<div class=""comments"">
  
</div>"
2641,mdr,Madurese,"<div class=""Example""><p><i>tèh</i></p></div>"
2570,die,Diegueño (Mesa Grande),"<div class=""Example""><p>3<sup>rd</sup> pronouns same as demonstratives</p>
<table class=""example"">
<tr>
<td>
<p><i>peya</i></p>
</td>
<td>
<p>‘this one’</p>
</td>
</tr>
<tr>
<td>
<p><i>nyip</i></p>
</td>
<td>
<p>‘that one (medial)’</p>
</td>
</tr>
<tr>
<td>
<p><i>puu</i></p>
</td>
<td>
<p>‘that one farther away’</p>
</td>
</tr>
</table></div>"
2571,kur,Kurukh,"<div class=""comments"">
  <dl>
    <dt>instrumental marker:</dt>
    <dd>-trīǀū</dd>
  </dl>
</div>"
2572,klv,Kilivila,"<div class=""comments"">
  <dl>
    <dt>comitative marker:</dt>
    <dd>deli</dd>
  </dl>
</div>"
2573,prh,Pirahã,
2574,tur,Turkish,
2575,ace,Acehnese,"<div class=""Example""><p><i>te</i></p></div>"
2576,aeg,Egyptian Arabic,
2577,oma,Omagua,"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>ARM: iiéua</p>
</td>
<td>
<p>""brazo""</p>
</td>
</tr>
<tr>
<td>
<p>HAND: poa</p>
</td>
<td>
<p>""mano""</p>
</td>
</tr>
</table></div>"
2578,hil,Hiligaynon,"<div class=""Example""><p><i>tsa</i></p></div>"
2579,ram,Rama,"<div class=""example""><table class=""example""><tr>
        <td>
          <p>
            <span style=""font-style:italic;"">ŋuu</span>
          </p>
        </td>
        <td>
          <p>
            <span>'house'</span>
          </p>
        </td>
      </tr>
      <tr>
        <td>
          <p>
            <span style=""font-style:italic;"">ŋaaŋ</span>
          </p>
        </td>
        <td>
          <p>
            <span>'bed'</span>
          </p>
        </td>
      </tr>
      </table></div>"
2580,toy,Tasmanian (Oyster Bay to Pitwater),"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>ri-ena</p>
</td>
<td>
<p>""finger""</p>
</td>
</tr>
</table></div>"
2581,tgr,Tigre,
2582,zch,Zoque (Chimalapa),"<div class=""comments"">
  <dl>
    <dt>comitative marker:</dt>
    <dd>-heʔen</dd>
  </dl>
</div>"
2583,aht,Ahtna,"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>-lats'ighose'</p>
</td>
<td>
<p>""finger, fingers (other than thumb)""</p>
</td>
</tr>
</table></div>"
2584,gua,Guaraní,"<div class=""example"">
    <table border=""0"">
      
      <tr>
        <td>
          <p>/ndo-ɾoi-ndu-ˈpãi/ -&gt; [nõɾ̃õĩnũˈpãĩ] </p>
        </td>
        <td>
          <p>‘I don’t beat you’ </p>
        </td>
      </tr>
      <tr>
        <td>
          <p>/aˌkãɾaˈɰʷe/ -&gt; [ãˌkãɾ̃ãˈɰʷe] </p>
        </td>
        <td>
          <p>‘hair (of the head)’ </p>
        </td>
      </tr>
    </table>
  </div>
  
"
2585,hix,Hixkaryana,"<div class=""Example""><p class=""p1""> </p>
<p class=""p1"">pronominal and adnominal identical:</p>
<p class=""p1""> </p>
<table cellpadding=""0"" cellspacing=""0"" class=""t1"">
<tbody>
<tr>
<td class=""td4"" valign=""top"">
<p class=""p1"">mosonɨ</p>
<p class=""p1"">mokro</p>
<p class=""p1"">moki</p>
</td>
<td class=""td7"" valign=""top"">
<p class=""p1"">proximal</p>
<p class=""p1"">medial</p>
<p class=""p1"">distal</p>
</td>
</tr>
</tbody>
</table>
<p class=""p1""> </p>
<p class=""p1""> </p></div>"
2586,ktt,Kott,"<div class=""comments"">
  <dl>
    <dt>comitative marker:</dt>
    <dd>-oš</dd>
  </dl>
</div>"
2587,mxg,Mixteco (San Miguel el Grande),"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>ARM: ndaha-yo</p>
</td>
<td>
<p>""brazo"" [S-M only]</p>
</td>
</tr>
<tr>
<td>
<p>HAND: ndaha</p>
</td>
<td>
<p>""mano, hoja, rama""</p>
</td>
</tr>
</table></div>"
2588,lak,Lak,"<div class=""comments"">
  <dl>
    <dt>instrumental marker:</dt>
    <dd>-inu</dd>
  </dl>
</div>"
2589,bur,Burushaski,"<div class=""example"">
    <table border=""0"">
      
      <tr>
        <td>
          <p> </p>
        </td>
        <td>
          <p>‘boy’ </p>
        </td>
        <td>
          <p>cf. ‘woman’ </p>
        </td>
      </tr>
      <tr>
        <td>
          <p style=""font-variant: small-caps;"">abs </p>
        </td>
        <td>
          <p style=""font-style:italic;"">hiles </p>
        </td>
        <td>
          <p style=""font-style:italic;"">gus </p>
        </td>
      </tr>
      <tr>
        <td>
          <p style=""font-variant: small-caps;"">erg </p>
        </td>
        <td>
          <p style=""font-style:italic;"">hilese </p>
        </td>
        <td>
          <p style=""font-style:italic;"">guse </p>
        </td>
      </tr>
      <tr>
        <td>
          <p style=""font-variant: small-caps;"">gen </p>
        </td>
        <td>
          <p style=""font-style:italic;"">hilese </p>
        </td>
        <td>
          <p style=""font-style:italic;"">gusmo </p>
        </td>
      </tr>
    </table>
  </div>
  
"
2590,tml,Tamil,"<div class=""Example""><p class=""p1""> </p>
<p class=""p1"">pronominal and adnominal differentiated:</p>
<p class=""p1""> </p>
<table cellpadding=""0"" cellspacing=""0"" class=""t1"">
<tbody>
<tr>
<td class=""td13"" valign=""top"">
<p class=""p1"">itu+INFL</p>
<p class=""p1"">atu+INFL</p>
</td>
<td class=""td14"" valign=""top"">
<p class=""p1"">inta</p>
<p class=""p1"">anta</p>
</td>
<td class=""td6"" valign=""top"">
<p class=""p1"">proximal</p>
<p class=""p1"">distal</p>
</td>
</tr>
</tbody>
</table>
<p class=""p1""> </p>
<p class=""p1""> </p></div>"
2591,orh,Harar Oromo,"<div class=""comments"">
  <p> </p>
</div>"
2592,pol,Polish,
2593,tvo,Tatar (Volga),"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>barmak</p>
</td>
<td>
<p>""finger""</p>
</td>
</tr>
</table></div>"
2594,koa,Koasati,"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>ilbocó:si</p>
</td>
<td>
<p>""finger""</p>
</td>
</tr>
</table></div>"
2595,yct,Yucatec,"<div class=""comments"">
  <dl>
    <dt>instrumental and comitative marker:</dt>
    <dd>yéetel</dd>
  </dl>
</div>"
2596,prs,Persian,"<div class=""Example""><table class=""example"">
<tr>
<td>
<p><i>u / vey</i></p>
</td>
<td>
<p>‘3<sup>rd</sup> pronoun used for humans only;</p>
</td>
</tr>
<tr>
<td>
<p><i>an</i></p>
</td>
<td>
<p>‘that’ used for non-humans</p>
</td>
</tr>
<tr>
<td>
<p><i>in</i></p>
</td>
<td>
<p>‘this’</p>
</td>
</tr>
<tr>
<td>
<p><i>an</i></p>
</td>
<td>
<p>‘that’</p>
</td>
</tr>
</table></div>"
2597,bma,Berber (Middle Atlas),"<div class=""comments"">
  <p>reciprocal marker: mm- RESP/COLL</p>
</div>"
2598,akr,Arikara,"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>ščiítu'</p>
</td>
<td>
<p>""finger""</p>
</td>
</tr>
</table></div>"
2599,snh,Sinhala,"<div class=""Example""><p>3<sup>rd</sup> pronouns same as demonstratives</p>
<table class=""example"">
<tr>
<td>
<p><i>mee</i></p>
</td>
<td>
<p>‘near 1’</p>
</td>
</tr>
<tr>
<td>
<p><i>oyə</i></p>
</td>
<td>
<p>‘near 2’</p>
</td>
</tr>
<tr>
<td>
<p><i>arə</i></p>
</td>
<td>
<p>‘distal’ followed by gender markers</p>
</td>
</tr>
</table></div>"
2600,ilo,Ilocano,"<div class=""Example""><p>[THE TERM for arm/hand DOES NOT ALSO DENOTE FINGER]</p></div>"
2601,geo,Georgian,"<div class=""comments"">
  <dl>
    <dt>instrumental and comitative marker:</dt>
    <dd>-itʻ</dd>
  </dl>
</div>"
2604,tng,Tongan,"<div class=""Example""><p class=""p1""> </p>
<p class=""p1"">pronominal and adnominal differentiated:</p>
<p class=""p1""> </p>
<table cellpadding=""0"" cellspacing=""0"" class=""t1"">
<tbody>
<tr>
<td class=""td4"" valign=""top"">
<p class=""p1"">ē  (neutral)</p>
<p class=""p1"">eni  (near S)</p>
<p class=""p1"">ena  (near H)</p>
<p class=""p1"">ia  (away from S+H)</p>
</td>
<td class=""td11"" valign=""top"">
<p class=""p1"">ni</p>
<p class=""p1"">na</p>
</td>
<td class=""td11"" valign=""top"">
<p class=""p1"">proximal</p>
<p class=""p1"">distal</p>
</td>
</tr>
</tbody>
</table>
<p class=""p1""> </p>
<p class=""p1""> </p></div>"
2605,tlf,Telefol,"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>sagaál duúng</p>
</td>
<td>
<p>""finger, knuckle""</p>
</td>
</tr>
</table></div>"
2606,eka,Ekari,"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>ARM: benáí</p>
</td>
<td>
<p>""upper arm""</p>
</td>
</tr>
<tr>
<td>
<p>gane</p>
</td>
<td>
<p>""hand, arm""</p>
</td>
</tr>
<tr>
<td>
<p>HAND: gane</p>
</td>
<td>
<p>""hand, arm""</p>
</td>
</tr>
</table></div>"
2607,kon,Kongo,"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>ARM: koko</p>
</td>
<td>
<p>""arm, hand, arm, front leg, fore paw, sleeve (of a coat)""</p>
</td>
</tr>
<tr>
<td>
<p>HAND: koko</p>
</td>
<td>
<p>""arm, hand, arm, front leg, fore paw, sleeve (of a coat)""</p>
</td>
</tr>
</table></div>"
2608,koi,Koiari,"<div class=""comments"">
  <dl>
    <dt>comitative marker:</dt>
    <dd>ruhuta</dd>
  </dl>
</div>"
2609,mac,Macushi,"<div class=""comments"">
  <p>source: Abott, 1991: 114, in passim</p>
</div>"
2610,otm,Otomi,"<div class=""comments"">
  <p> </p>
</div>"
2611,mal,Malagasy,"<div class=""comments"">
  <p>source: Vladimir D.  : Mal´gašskij jazyk. Moscow: Nauka, p. 35</p>
</div>"
2612,mxc,Chalcatongo Mixtec,"<div class=""comments"">
  <p> </p>
</div>"
2613,hau,Hausa,"<div class=""Example""><p class=""p1""> </p>
<p class=""p1"">pronominal and adnominal identical:</p>
<p class=""p1""> </p>
<table cellpadding=""0"" cellspacing=""0"" class=""t1"">
<tbody>
<tr>
<td class=""td4"" valign=""top"">
<p class=""p1"">nân</p>
<p class=""p1"">nan</p>
<p class=""p1"">cân</p>
<p class=""p1"">can</p>
</td>
<td class=""td7"" valign=""top"">
<p class=""p1"">near S</p>
<p class=""p1"">near H</p>
<p class=""p1"">away from S+H</p>
<p class=""p1"">far away from S+H</p>
</td>
</tr>
</tbody>
</table>
<p class=""p1""> </p>
<p class=""p1""> </p></div>"
2614,yor,Yoruba,"<div class=""Example""><p class=""p1""> </p>
<p class=""p1"">pronominal and adnominal identical:</p>
<p class=""p1""> </p>
<table cellpadding=""0"" cellspacing=""0"" class=""t1"">
<tbody>
<tr>
<td class=""td4"" valign=""top"">
<p class=""p1"">ìyí / èyí</p>
<p class=""p1"">ìyẹn</p>
</td>
<td class=""td7"" valign=""top"">
<p class=""p1"">proximal</p>
<p class=""p1"">distal</p>
</td>
</tr>
</tbody>
</table>
<p class=""p1""> </p>
<p class=""p1""> </p></div>"
2615,rap,Rapanui,"<div class=""comments"">
  <p>([644])</p>
</div>"
2616,zaj,Zapotec (Juarez),"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>ỹoben<u>á</u>'</p>
</td>
<td>
<p>""dedo de la mano""</p>
</td>
</tr>
</table></div>"
2617,but,Buryat,"<div class=""Example""><p><i>saj</i></p></div>"
2618,mnd,Mandarin,
